Car;Surface;Temp;Tires;Season;WheelFront;WheelRear;Speed;WhPerKm;Capacity;Range100;Mi;Range75;ChargingTime75;KmPerH75
Tesla Model 3 - Performance;Dry;5;Nokian R3;Winter;235/35-20;235/35-20;120;218;74;339;211;220;21;630
Audi e-tron - 55;Dry;18;Bridgestone Ale;Summer;255/50-20;255/50-20;90;225;83,1;370;230;241;24;601
Audi e-tron - 55;Dry;18;Bridgestone Ale;Summer;255/50-20;255/50-20;120;308;83,1;270;168;176;24;439
Kia e-Soul - 64 kWh;Dry;14;Nexen Nfera SU1;Summer;215/55-17;215/55-17;90;153;64;430;267;280;42;399
Kia e-Soul - 64 kWh;Dry;18;Nexen Nfera SU1;Summer;215/55-17;215/55-17;120;210;64;305;189;198;42;283
Tesla Model X - P90DL;Dry;12;Winrun R330;Summer;275/45-20;275/45-20;90;194;81,8;422;262;274;35;470
Tesla Model X - P90DL;Dry;13;Winrun R330;Summer;275/45-20;275/45-20;120;261;81,8;313;194;203;35;349
Nissan Leaf - 62 kWh;Dry;24;;Summer;215/50-17;215/50-17;90;151;56;370;230;241;36;401
Nissan Leaf - 62 kWh;Dry;24;;Summer;215/50-17;215/50-17;120;220;56;254;158;165;36;275
Mercedes EQC;Dry;14;Pirelli Scorpion V;Summer;255/45-20;255/45-20;90;192;80;420;261;273;34;482
Mercedes EQC;Dry;15;Pirelli Scorpion V;Summer;255/45-20;255/45-20;120;270;80;296;184;192;34;340
Jaguar I-Pace - 90 kWh;Dry;13;Michelin Latitude;Summer;235/65-18;235/65-18;90;196;81,8;417;259;271;45;361
Jaguar I-Pace - 90 kWh;Dry;13;Michelin Latitude;Summer;235/65-18;235/65-18;120;269;81,8;304;189;198;45;263
Tesla Model X - LR Raven;Dry;15;Michelin Lat Sp 3;Summer;255/45-20;255/45-20;90;177;92;520;323;338;34;596
Tesla Model X - LR Raven;Dry;18;Michelin Lat Sp 3;Summer;255/45-20;255/45-20;120;229;92;402;250;261;34;461
Tesla Model 3 - SR+ 2019;Dry;24;Michelin Pri 4;Summer;235/45-18;235/45-18;90;122;49;402;250;261;22;713
Tesla Model S - LR Raven;Dry;19;Michelin PS4s;Summer;245/35-21;245/35-21;90;164;92,8;566;352;368;34;649
Renault Zoe - 52 kWh;Dry;3;Nokian R3;Winter;195/55-16;195/55-16;90;147;42,5;289;180;188;50;225
Audi e-tron - 50;Dry;0;Nokian R3;Winter;255/55-19;255/55-19;90;234;63;270;168;176;22;479
Hyundai Ioniq - 38 kWh;Wet;3;Nokian R3;Winter;215/55-17;215/55-17;90;138;37,5;270;168;176;44;239
VW e-Up - 36.8 kWh;Dry;3;Nokian R3;Winter;175/65-14;175/65-14;90;147;29;198;123;129;42;184
VW e-Up - 36.8 kWh;Dry;3;Nokian R3;Winter;175/65-14;175/65-14;120;214;29;136;84;88;42;126
MG ZS EV - 44.5 kWh;Dry;-3;Continental VC7;Winter;215/50-17;215/50-17;90;195;42,6;219;136;142;34;251
MG ZS EV - 44.5 kWh;Dry;-3;Continental VC7;Winter;215/50-17;215/50-17;120;295;40,8;138;86;90;34;158
Tesla Model 3 - LR RWD;Dry;5;Continental VC7;Winter;235/45-18;235/45-18;90;156;71,7;459;285;298;21;852
Tesla Model 3 - LR RWD;Dry;2;Continental VC7;Winter;235/45-18;235/45-18;110;205;71,7;350;217;228;21;650
Porsche Taycan - 4S 79 kWh;Dry;12;Michelin PS4;Summer;245/45-20;285/40-20;90;173;76;439;273;285;18;951
Porsche Taycan - 4S 79 kWh;Dry;12;Michelin PS4;Summer;245/45-20;285/40-20;120;223;76;341;212;222;18;739
Tesla Model S - LR Raven;Dry;16;Michelin PS4;Summer;245/45-19;245/45-19;90;144;92,7;644;400;419;34;739
Tesla Model S - LR Raven;Dry;15;Michelin PS4;Summer;245/45-19;245/45-19;120;196;92,7;473;294;307;34;543
Jaguar I-Pace - 90 kWh;Dry;16;Michelin Latitude;Summer;235/65-18;235/65-18;90;192;82;427;265;278;45;370
Peugeot e-208 - GT;Dry;15;Michelin Pri 4;Summer;205/45-17;205/45-17;90;154;45;292;181;190;30;380
Peugeot e-208 - GT;Dry;11;Michelin Pri 4;Summer;205/45-17;205/45-17;120;241;45;187;116;122;30;243
DS 3 e-tense;Dry;21;Michelin Pri 4;Summer;215/55-18;205/45-17;90;158;45;285;177;185;30;371
DS 3 e-tense;Dry;18;Michelin Pri 4;Summer;215/55-18;215/55-18;120;235;45;191;119;124;30;248
MG ZS EV - 44.5 kWh;Dry;18;Michelin Pri 3;Summer;215/50-17;215/55-18;90;160;42,5;266;165;173;34;305
MG ZS EV - 44.5 kWh;Dry;20;Michelin Pri 3;Summer;215/50-17;215/50-17;120;240;41,5;173;107;112;34;198
Honda e;Dry;26;Michelin PS4;Summer;205/45-17;225/45-17;90;151;28,6;189;117;123;31;238
Honda e;Dry;24;Michelin PS4;Summer;205/45-17;225/45-17;120;225;27,2;121;75;79;31;152
Audi e-tron - 50 Sportback;Dry;19;Bridgestone Ale;Summer;255/50-20;255/50-20;90;201;63,9;318;198;207;22;564
Audi e-tron - 50 Sportback;Dry;18;Bridgestone Ale;Summer;255/50-20;255/50-20;120;256;63,3;247;153;161;22;438
Mini Cooper - SE;Dry;19;Hankook evo3;Summer;205/45-17;205/45-17;90;128;30,3;236;147;153;;
Mini Cooper - SE;Dry;19;Hankook evo3;Summer;205/45-17;205/45-17;120;177;28,8;163;101;106;;
Xpeng P7 - Performance;Dry;21;Michelin PS4;Summer;245/45-19;245/45-19;90;150;73,8;492;306;320;;
Xpeng P7 - Performance;Dry;18;Michelin PS4;Summer;245/45-19;245/45-19;120;212;73,8;348;216;226;;
Tesla Model 3 - Performance w/mudflaps;Dry;24;Winrun R330;Summer;235/45-18;235/45-18;90;141;73,5;521;324;339;21;968
Tesla Model 3 - Performance w/mudflaps;Dry;22;Winrun R330;Summer;235/45-18;235/45-18;120;188;73,5;391;243;254;21;726
Porsche Taycan - 4S 93 kWh;Dry;27;Hankook evo3;Summer;225/55-19;275/45-19;90;150;86,9;579;360;376;18;1255
Porsche Taycan - 4S 93 kWh;Dry;20;Hankook evo3;Summer;225/55-19;275/45-19;120;203;86,1;425;264;276;18;921
Polestar 2;Dry;20;Michelin Pri 4;Summer;245/45-19;245/45-19;90;167;72,8;435;270;283;33;514
Polestar 2;Dry;18;Michelin Pri 4;Summer;245/45-19;245/45-19;120;229;69,8;305;189;198;33;360
Tesla Model S - P85 7 seater;Dry;15;Nokian Hakka Black 2;Summer;245/35-21;245/35-21;90;170;75;441;274;287;49;351
Tesla Model S - P85 7 seater;Dry;13;Nokian Hakka Black 2;Summer;245/35-21;245/35-21;120;222;75;338;210;220;49;269
Peugeot e-2008 - GT;Dry;19;Michelin Pri 4;Summer;215/55-18;215/55-18;90;150;45;300;186;195;30;390
Peugeot e-2008 - GT;Dry;18;Michelin Pri 4;Summer;215/55-18;215/55-18;120;225;44,5;198;123;129;30;257
Tesla Model S - LR Raven;Dry;16;Mag + Winrun R330;Summer;245/45-19;245/45-19;90;152;92,7;610;379;397;34;700
Tesla Model S - LR Raven;Dry;15;Mag + Winrun R330;Summer;245/45-19;245/45-19;120;211;92,7;439;273;285;34;504
Maxus e-Deliver - 3;Dry;10;Wanli S-2028;Summer;185/65-15;185/65-15;90;218;50,9;233;145;151;44;207
VW ID3 - 1st 62 kWh;Dry;20;Bridgestone Turanza Eco;Summer;215/55-18;215/55-18;90;135;55,8;413;257;268;30;537
VW ID3 - 1st 62 kWh;Dry;12;Bridgestone Turanza Eco;Summer;215/55-18;215/55-18;120;205;55,6;271;168;176;30;352
VW ID3 - 1st Max 62 kWh;Dry;18;Bridgestone Turanza Eco;Summer;215/45-20;215/45-20;90;142;55,8;393;244;255;30;511
VW ID3 - 1st Max 62 kWh;Dry;18;Bridgestone Turanza Eco;Summer;215/45-20;215/45-20;120;210;55,6;265;165;172;30;345
VW ID3 - 1st Plus 62 kWh;Dry;12;Continental EC6;Summer;215/50-19;215/50-19;90;152;55,8;367;228;239;30;477
VW ID3 - 1st Plus 62 kWh;Dry;13;Continental EC6;Summer;215/50-19;215/50-19;120;201;55,6;277;172;180;30;360
BMW i3 - 42 kWh;Dry;12;Continental VC7;Winter;155/70-19;155/70-19;90;151;39;259;161;168;35;289
BMW i3 - 42 kWh;Dry;11;Continental VC7;Winter;155/70-19;155/70-19;120;218;38,6;177;110;115;35;197
Mazda MX-30;Wet;3;Continental VC7;Winter;215/55-18;215/55-18;90;189;30;159;99;103;35;177
Mazda MX-30;Wet;3;Continental VC7;Winter;215/55-18;215/55-18;120;274;30;110;68;72;35;123
Xpeng G3 - 520i;Wet;-3;Nokian R3;Winter;215/55-17;215/55-17;90;199;60,6;304;189;198;53;224
Xpeng G3 - 520i;Wet;-5;Nokian R3;Winter;215/55-17;215/55-17;120;257;60,6;236;147;153;53;174
Tesla Model 3 - LR 2021;Wet;2;Nokian R3;Winter;235/45-18;235/45-18;90;149;69,9;468;291;304;31;589
Tesla Model 3 - LR 2021;Wet;2;Nokian R3;Winter;235/45-18;235/45-18;120;208;69,2;333;207;216;31;419
Jaguar I-Pace - EV320;Wet;-2;Continental VC7;Winter;255/50-20;255/50-20;90;225;83,8;372;231;242;45;322
Jaguar I-Pace - EV320;Wet;-2;Continental VC7;Winter;255/50-20;255/50-20;120;305;83,8;275;171;179;45;238
Volvo XC40 - 78 kWh AWD;Wet;6;Continental VC7;Winter;235/50-19;255/45-19;90;233;72,9;313;194;203;34;359
Volvo XC40 - 78 kWh AWD;Wet;6;Continental VC7;Winter;235/50-19;255/45-19;120;322;72,1;224;139;146;34;257
Tesla Model 3 - Performance 2021;Wet;1;Frigus EV Ice 3;Winter;235/45-18;235/45-18;90;174;76;438;272;285;30;569
Tesla Model 3 - Performance 2021;Wet;0;Frigus EV Ice 3;Winter;235/45-18;235/45-18;120;219;75,2;343;213;223;30;446
Tesla Model 3 - LR 2021;Dry;-16;Nokian R3;Winter;235/45-18;235/45-18;90;175;69,9;399;248;259;31;502
Tesla Model 3 - LR 2021;Dry;-16;Nokian R3;Winter;235/45-18;235/45-18;120;228;69,2;304;189;198;31;382
VW ID3 - 1st Plus;Dry;-20;Nokian R3;Winter;215/55-18;215/55-18;90;227;55,8;246;153;160;30;320
VW ID3 - 1st Plus;Dry;-20;Nokian R3;Winter;215/55-18;215/55-18;120;296;55,6;188;117;122;30;244
VW ID3 - 1st Plus;Dry;-10;Nokian R3;Winter;215/55-18;215/55-18;90;201;55,7;278;173;181;30;361
VW ID3 - 1st Plus;Dry;-8;Nokian R3;Winter;215/55-18;215/55-18;120;271;55,6;205;127;133;30;267
Nissan Leaf - 62 kWh;Dry;-10;Nokian R3;Winter;215/50-17;215/50-17;90;196;51,4;262;163;170;36;284
Nissan Leaf - 62 kWh;Dry;-12;Nokian R3;Winter;215/50-17;215/50-17;120;271;51,2;180;112;117;36;195
Mercedes EQV - 7 seater;Dry;-12;Nokian R3;Winter;245/55-17;245/55-17;90;344;84,5;245;152;159;38;251
Mercedes EQV - 7 seater;Dry;-14;Nokian R3;Winter;245/55-17;245/55-17;120;459;84,5;186;116;121;38;191
Ford Mustang - Mach-E LR AWD;Wet;-5;Continental VC7;Winter;225/55-19;225/55-19;90;240;84;350;217;228;38;359
Ford Mustang - Mach-E LR AWD;Wet;-5;Continental VC7;Winter;225/55-19;225/55-19;120;320;84;263;163;171;38;270
Polestar 2;Dry;4;Continental VC7;Winter;245/45-19;245/45-19;90;203;74,4;366;227;238;36;397
Tesla Model S - P85 MF;Dry;10;Frigus EV Ice 3;Summer;245/45-19;245/45-19;90;172;64,9;379;235;246;;
Tesla Model S - P85 MF;Dry;0;Frigus EV Ice 3;Summer;245/45-19;245/45-19;120;239;63,5;258;160;168;;
VW ID4 - 1st 82 kWh;Dry;15;Hankook Ventus S1evo3;Summer;235/50-20;255/45-20;90;167;75;449;279;292;32;547
VW ID4 - 1st 82 kWh;Dry;9;Hankook Ventus S1evo3;Summer;235/50-20;255/45-20;120;251;74,6;297;184;193;32;362
VW ID3 - 82 kWh;Dry;8;Goodyear EfficientGrip;Summer;215/50-19;215/50-19;90;162;75,5;466;289;303;32;568
VW ID3 - 82 kWh;Dry;5;Goodyear EfficientGrip;Summer;215/50-19;215/50-19;120;231;75,5;325;202;211;32;396
Tesla Model 3 - SR+;Dry;11;Michelin PS4;Summer;235/45-18;235/45-18;90;130;50,9;391;243;254;28;545
Tesla Model 3 - SR+;Dry;10;Michelin PS4;Summer;235/45-18;235/45-18;120;180;50,9;283;176;184;28;394
BMW iX3;Dry;12;Bridgestone Alenza;Summer;245/45-20;275/40-20;90;168;74,2;442;275;287;27;638
BMW iX3;Dry;17;Bridgestone Alenza;Summer;245/45-20;275/40-20;120;235;74,7;318;198;207;27;459
Lexus UX - 300e;Dry;10;Bridgestone Turanza;Summer;225/50-18;225/50-18;90;201;41,2;205;127;133;39;205
Lexus UX - 300e;Dry;10;Bridgestone Turanza;Summer;225/50-18;225/50-18;120;272;44,7;166;103;108;39;166
Skoda Enyaq - iV 80;Dry;9;Pirelli Scorpion V;Summer;235/45-21;235/45-21;90;166;75;452;281;294;32;551
Skoda Enyaq - iV 80;Dry;7;Pirelli Scorpion V;Summer;235/45-21;235/45-21;120;236;74,6;316;196;205;32;385
Mercedes EQA - 250;Dry;13;Bridgestone Alenza;Summer;235/55-18;235/55-18;90;167;65,1;390;242;254;27;563
Mercedes EQA - 250;Dry;11;Bridgestone Alenza;Summer;235/55-18;235/55-18;120;238;64,4;271;168;176;27;391
Audi e-tron - GT;Dry;16;Goodyear Eagle F1;Summer;265/35-21;305/30-21;90;173;84,6;490;304;319;18;1062
Audi e-tron - GT;Dry;14;Goodyear Eagle F1;Summer;265/35-21;305/30-21;120;224;84,6;378;235;246;18;819
Tesla Model 3 - SR+;Dry;24;Michelin PS4;Summer;235/45-18;235/45-18;90;128;50,9;398;247;259;28;554
Tesla Model 3 - SR+;Dry;22;Michelin PS4;Summer;235/45-18;235/45-18;120;172;50,9;296;184;192;28;412
VW ID4 - GTX 82 kWh;Dry;22;Pirelli Scorpion;Summer;235/45-21;255/40-21;90;160;75;456;283;296;32;556
VW ID4 - GTX 82 kWh;Dry;24;Pirelli Scorpion;Summer;235/45-21;255/40-21;120;221;74,6;330;205;215;32;402
Tesla Model 3 - SR+ MIC;Dry;24;Michelin PS4;Summer;235/45-18;235/45-18;90;122;49,8;408;253;265;22;723
Tesla Model 3 - SR+ MIC;Dry;23;Michelin PS4;Summer;235/45-18;235/45-18;120;166;49,8;300;186;195;22;532
Audi Q4 e-tron - 40;Dry;20;Bridgestone Turanza Eco;Summer;235/55-19;255/50-19;90;154;75;487;302;317;32;594
Audi Q4 e-tron - 40;Dry;20;Bridgestone Turanza Eco;Summer;235/55-19;255/50-19;120;225;74,6;332;206;216;32;405
Tesla Model 3 - LR 82 kWh;Dry;27;Michelin PS4;Summer;235/45-18;235/45-18;90;136;76,5;563;350;366;28;784
Tesla Model 3 - LR 82 kWh;Dry;25;Michelin PS4;Summer;235/45-18;235/45-18;120;180;76;422;262;274;28;588
Hyundai Ioniq5 - AWD;Dry;25;Michelin Primacy 4;Summer;235/55-19;235/55-19;90;153;70,6;461;286;300;17;1058
Hyundai Ioniq5 - AWD;Dry;21;Michelin Primacy 4;Summer;235/55-19;235/55-19;120;244;70,6;289;180;188;17;663
Citroen e-C4;Dry;27;Michelin e Primacy;Summer;195/60-18;195/60-18;90;137;40,9;299;186;194;24;486
Citroen e-C4;Dry;22;Michelin e Primacy;Summer;195/60-18;195/60-18;120;207;40,9;198;123;129;24;322
Opel Mokka-e;Dry;25;Michelin Primacy 4;Summer;215/55-18;215/55-18;90;148;42,9;290;180;189;24;471
Opel Mokka-e;Dry;20;Michelin Primacy 4;Summer;215/55-18;215/55-18;120;221;42,9;194;120;126;24;315
Citroen e-Spacetourer - 7 seater;Dry;19;Michelin Primacy 4;Summer;225/55-17;225/55-17;90;211;62,2;295;183;192;34;338
Citroen e-Spacetourer - 7 seater;Dry;17;Michelin Primacy 4;Summer;225/55-17;225/55-17;120;346;62,2;180;112;117;34;206
Opel Corsa-e;Dry;21;Michelin Primacy 4;Summer;195/55-16;195/55-16;90;140;40,9;292;181;190;24;475
Opel Corsa-e;Dry;19;Michelin Primacy 4;Summer;195/55-16;195/55-16;120;205;40,9;200;124;130;24;325
Fiat 500e;Dry;21;Continental EC6;Summer;205/45-17;205/45-17;90;146;36,2;249;155;162;25;388
Fiat 500e;Dry;17;Continental EC6;Summer;205/45-17;205/45-17;120;213;36,2;170;106;111;25;265
Ford Mustang - Mach-E LR RWD;Dry;18;Continental PreCon 6;Summer;225/60-18;225/60-18;90;160;85,6;535;332;348;38;549
Ford Mustang - Mach-E LR RWD;Dry;15;Continental PreCon 6;Summer;225/60-18;225/60-18;120;240;85,6;357;222;232;38;366
Tesla Model 3 - SR+ MIC;Dry;20;Michelin PS4;Summer;235/45-18;235/45-18;90;118;52,6;443;275;288;22;785
Tesla Model 3 - SR+ MIC;Dry;19;Michelin PS4;Summer;235/45-18;235/45-18;120;168;52,6;313;194;203;22;555
Tesla Model S - P85 MF;Dry;19;Goodyear Eagle RS-A1;Summer;245/45-19;245/45-19;90;160;65,9;412;256;268;;
Tesla Model S - P85 MF;Dry;17;Goodyear Eagle RS-A1;Summer;245/45-19;245/45-19;120;218;65,9;302;188;196;;
Tesla Model Y - LR;Dry;21;Winrun R330;Summer;235/55-18;235/55-18;90;148;70;473;294;307;31;595
Tesla Model Y - LR;Dry;17;Winrun R330;Summer;235/55-18;235/55-18;120;206;70;340;211;221;31;428
Tesla Model Y - LR (caps on);Dry;20;Hankook evo3;Summer;255/45-19;255/45-19;90;142;70;493;306;320;31;620
Tesla Model Y - LR (caps on);Dry;18;Hankook evo3;Summer;255/45-19;255/45-19;120;195;70;359;223;233;31;452
Tesla Model Y - LR (caps off);Dry;20;Hankook evo3;Summer;255/45-19;255/45-19;90;146;70;479;298;311;31;603
Tesla Model Y - LR (caps off);Dry;21;Hankook evo3;Summer;255/45-19;255/45-19;120;201;70;348;216;226;31;438
VW ID3 - 55 kWh;Dry;15;Goodyear EfficientGrip;Summer;215/55-18;215/55-18;90;137;43,5;316;196;205;25;493
VW ID3 - 55 kWh;Dry;16;Goodyear EfficientGrip;Summer;215/55-18;215/55-18;120;199;43,5;219;136;142;25;342
Nio ES8 - 100 kWh 6 seater;Dry;11;Continental MC6;Summer;265/45-21;265/45-21;90;221;87,9;397;247;258;38;407
Nio ES8 - 100 kWh 6 seater;Dry;6;Continental MC6;Summer;265/45-21;265/45-21;120;300;87,9;293;182;190;38;301
Mercedes EQC;Wet;11;Nokian R3;Winter;235/50-20;255/45-20;90;205;80;390;242;254;34;447
Mercedes EQC;Wet;11;Nokian R3;Winter;235/50-20;255/45-20;120;282;80;284;176;185;34;326
Maxus Euniq - 5;Dry;7;Nokian R3;Winter;215/55-17;215/55-17;90;200;52,1;267;166;174;35;298
Maxus Euniq - 5;Dry;7;Nokian R3;Winter;215/55-17;215/55-17;120;281;52,1;185;115;120;35;206
Kia EV6 - 77 kWh AWD;Dry;1;Nokian R3;Winter;235/55-19;235/55-19;90;180;72,4;402;250;261;17;922
Kia EV6 - 77 kWh AWD;Dry;1;Nokian R3;Winter;235/55-19;235/55-19;120;264;72,4;274;170;178;17;629
Tesla Model 3 - SR+ MIC;Wet;1;Frigus EV Ice 3;Winter;235/45-18;235/45-18;90;152;52,6;346;215;225;22;613
Tesla Model 3 - SR+ MIC;Wet;1;Frigus EV Ice 3;Winter;235/45-18;235/45-18;120;202;52,6;263;163;171;22;466
Polestar 2 - SR SM;Dry;1;Continental VC7;Winter;245/45-19;245/45-19;90;176;58,6;333;207;216;28;464
Polestar 2 - SR SM;Dry;-1;Continental VC7;Winter;245/45-19;245/45-19;120;242;58,6;242;150;157;28;337
Polestar 2 - Performance;Dry;0;Michelin X-Ice Snow;Winter;245/40-20;245/40-20;90;215;74,4;346;215;225;35;386
Polestar 2 - Performance;Dry;0;Michelin X-Ice Snow;Winter;245/40-20;245/40-20;120;266;74,4;280;174;182;35;312
Mercedes EQS - 580 4Matic;Dry;4;Nokian R3;Winter;265/40-21;265/40-21;90;209;106,7;511;317;332;28;712
Mercedes EQS - 580 4Matic;Dry;4;Nokian R3;Winter;265/40-21;265/40-21;120;264;106,7;404;251;263;28;563
Tesla Model 3 - SR+ 60 kWh LFP;Wet;-3;Sailun Ice Blazer Arctic;Winter;235/45-18;235/45-18;90;142;57,5;404;251;263;27;584
Tesla Model 3 - SR+ 60 kWh LFP;Wet;-3;Sailun Ice Blazer Arctic;Winter;235/45-18;235/45-18;120;199;57,5;289;180;188;27;417
Mercedes EQA - 350 4Matic;Wet;2;Nokian R3;Winter;235/50-19;235/50-19;90;203;65,1;321;199;209;27;464
Mercedes EQA - 350 4Matic;Wet;2;Nokian R3;Winter;235/50-19;235/50-19;120;283;64,4;228;142;148;27;329
BMW i4 - M50;Wet;1;Pirelli P Zero Winter;Winter;245/40-19;255/40-19;90;207;79,4;385;239;250;26;578
BMW i4 - M50;Wet;2;Pirelli P Zero Winter;Winter;245/40-19;255/40-19;120;279;79,4;285;177;185;26;428
BMW iX - xDrive50;Dry;4;Michelin Pilot Alpin 5;Winter;255/50-21;255/50-21;90;217;106,6;489;304;318;29;658
BMW iX - xDrive50;Wet;1;Michelin Pilot Alpin 5;Winter;255/50-21;255/50-21;120;292;106,6;365;227;237;29;491
Mercedes EQB - 350 4Matic;Dry;0;Nokian R3;Winter;235/50-19;235/50-19;90;196;65,1;332;206;216;27;480
Mercedes EQB - 350 4Matic;Dry;-2;Nokian R3;Winter;235/50-19;235/50-19;120;275;64,4;234;145;152;27;338
Kia EV6 - 77 kWh RWD;Dry;5;Nokian R3;Winter;235/55-19;235/55-19;90;166;73,9;445;276;289;17;1021
Kia EV6 - 77 kWh RWD;Dry;2;Nokian R3;Winter;235/55-19;235/55-19;120;248;73,9;298;185;194;17;684
Tesla Model 3 - SR+ 60 kWh LFP;Dry;-1;Nokian R5;Winter;235/45-18;235/45-18;90;140;56,9;406;252;264;27;586
Tesla Model 3 - SR+ 60 kWh LFP;Dry;1;Nokian R5;Winter;235/45-18;235/45-18;120;194;56,9;293;182;190;27;423
Cupra Born - 58;Dry;3;Nokian R3;Winter;215/50-19;215/50-19;90;167;55,8;334;207;217;30;434
Cupra Born - 58;Dry;4;Nokian R3;Winter;215/50-19;215/50-19;120;231;55,6;241;150;157;30;313
Volvo C40 - AWD;Dry;12;Continental VC7;Winter;235/50-19;255/45-19;90;199;75,8;381;237;248;34;437
Volvo C40 - AWD;Dry;10;Continental VC7;Winter;235/50-19;255/45-19;120;283;75,2;266;165;173;34;305
Audi e-tron - 55 Black Edition;Dry;2;Nokian R3;Winter;265/45-21;265/45-21;90;232;85,7;370;230;241;24;601
Audi e-tron - 55 Black Edition;Dry;4;Nokian R3;Winter;265/45-21;265/45-21;120;306;84,7;277;172;180;24;450
Tesla Model Y - LR;Dry;4;Nokian R3;Winter;255/45-19;255/45-19;90;155;70;452;281;294;27;653
Tesla Model Y - LR;Dry;5;Nokian R3;Winter;255/45-19;255/45-19;120;214;70;327;203;213;27;472
Volvo XC40 - 69 kWh FWD;Dry;17;Continental VC7;Winter;235/50-19;255/45-19;90;175;63;360;224;234;26;540
Volvo XC40 - 69 kWh FWD;Dry;17;Continental VC7;Winter;235/50-19;255/45-19;120;265;62,5;234;145;152;26;351
BMW iX - xDrive40;Dry;16;Bridgestone Alenza;Summer;255/50-21;255/50-21;90;170;70,5;415;258;270;30;540
BMW iX - xDrive40;Dry;11;Bridgestone Alenza;Summer;255/50-21;255/50-21;120;242;70,5;291;181;189;30;378
Porsche Taycan - Cross Turismo 4;Dry;17;Goodyear Eagle F1;Summer;265/35-21;305/30-21;90;190;84,6;445;276;289;18;964
